msi_name,sar_name,hsi_name,label_name
/mnt/data/whispers2023/C2Seg_BW/train/msi/0.tiff,/mnt/data/whispers2023/C2Seg_BW/train/sar/0.tiff,/mnt/data/whispers2023/C2Seg_BW/train/hsi/hsi/0.tiff,/mnt/data/whispers2023/C2Seg_BW/train/label/0.tiff
/mnt/data/whispers2023/C2Seg_BW/train/msi/1.tiff,/mnt/data/whispers2023/C2Seg_BW/train/sar/1.tiff,/mnt/data/whispers2023/C2Seg_BW/train/hsi/hsi/1.tiff,/mnt/data/whispers2023/C2Seg_BW/train/label/1.tiff
/mnt/data/whispers2023/C2Seg_BW/train/msi/10.tiff,/mnt/data/whispers2023/C2Seg_BW/train/sar/10.tiff,/mnt/data/whispers2023/C2Seg_BW/train/hsi/hsi/10.tiff,/mnt/data/whispers2023/C2Seg_BW/train/label/10.tiff
/mnt/data/whispers2023/C2Seg_BW/train/msi/100.tiff,/mnt/data/whispers2023/C2Seg_BW/train/sar/100.tiff,/mnt/data/whispers2023/C2Seg_BW/train/hsi/hsi/100.tiff,/mnt/data/whispers2023/C2Seg_BW/train/label/100.tiff
/mnt/data/whispers2023/C2Seg_BW/train/msi/1000.tiff,/mnt/data/whispers2023/C2Seg_BW/train/sar/1000.tiff,/mnt/data/whispers2023/C2Seg_BW/train/hsi/hsi/1000.tiff,/mnt/data/whispers2023/C2Seg_BW/train/label/1000.tiff
/mnt/data/whispers2023/C2Seg_BW/train/msi/1001.tiff,/mnt/data/whispers2023/C2Seg_BW/train/sar/1001.tiff,/mnt/data/whispers2023/C2Seg_BW/train/hsi/hsi/1001.tiff,/mnt/data/whispers2023/C2Seg_BW/train/label/1001.tiff
/mnt/data/whispers2023/C2Seg_BW/train/msi/1002.tiff,/mnt/data/whispers2023/C2Seg_BW/train/sar/1002.tiff,/mnt/data/whispers2023/C2Seg_BW/train/hsi/hsi/1002.tiff,/mnt/data/whispers2023/C2Seg_BW/train/label/1002.tiff
/mnt/data/whispers2023/C2Seg_BW/train/msi/1003.tiff,/mnt/data/whispers2023/C2Seg_BW/train/sar/1003.tiff,/mnt/data/whispers2023/C2Seg_BW/train/hsi/hsi/1003.tiff,/mnt/data/whispers2023/C2Seg_BW/train/label/1003.tiff
/mnt/data/whispers2023/C2Seg_BW/train/msi/1004.tiff,/mnt/data/whispers2023/C2Seg_BW/train/sar/1004.tiff,/mnt/data/whispers2023/C2Seg_BW/train/hsi/hsi/1004.tiff,/mnt/data/whispers2023/C2Seg_BW/train/label/1004.tiff
/mnt/data/whispers2023/C2Seg_BW/train/msi/1005.tiff,/mnt/data/whispers2023/C2Seg_BW/train/sar/1005.tiff,/mnt/data/whispers2023/C2Seg_BW/train/hsi/hsi/1005.tiff,/mnt/data/whispers2023/C2Seg_BW/train/label/1005.tiff
/mnt/data/whispers2023/C2Seg_BW/train/msi/1006.tiff,/mnt/data/whispers2023/C2Seg_BW/train/sar/1006.tiff,/mnt/data/whispers2023/C2Seg_BW/train/hsi/hsi/1006.tiff,/mnt/data/whispers2023/C2Seg_BW/train/label/1006.tiff
/mnt/data/whispers2023/C2Seg_BW/train/msi/1009.tiff,/mnt/data/whispers2023/C2Seg_BW/train/sar/1009.tiff,/mnt/data/whispers2023/C2Seg_BW/train/hsi/hsi/1009.tiff,/mnt/data/whispers2023/C2Seg_BW/train/label/1009.tiff
/mnt/data/whispers2023/C2Seg_BW/train/msi/101.tiff,/mnt/data/whispers2023/C2Seg_BW/train/sar/101.tiff,/mnt/data/whispers2023/C2Seg_BW/train/hsi/hsi/101.tiff,/mnt/data/whispers2023/C2Seg_BW/train/label/101.tiff
/mnt/data/whispers2023/C2Seg_BW/train/msi/1010.tiff,/mnt/data/whispers2023/C2Seg_BW/train/sar/1010.tiff,/mnt/data/whispers2023/C2Seg_BW/train/hsi/hsi/1010.tiff,/mnt/data/whispers2023/C2Seg_BW/train/label/1010.tiff
/mnt/data/whispers2023/C2Seg_BW/train/msi/1012.tiff,/mnt/data/whispers2023/C2Seg_BW/train/sar/1012.tiff,/mnt/data/whispers2023/C2Seg_BW/train/hsi/hsi/1012.tiff,/mnt/data/whispers2023/C2Seg_BW/train/label/1012.tiff
/mnt/data/whispers2023/C2Seg_BW/train/msi/1014.tiff,/mnt/data/whispers2023/C2Seg_BW/train/sar/1014.tiff,/mnt/data/whispers2023/C2Seg_BW/train/hsi/hsi/1014.tiff,/mnt/data/whispers2023/C2Seg_BW/train/label/1014.tiff
/mnt/data/whispers2023/C2Seg_BW/train/msi/1015.tiff,/mnt/data/whispers2023/C2Seg_BW/train/sar/1015.tiff,/mnt/data/whispers2023/C2Seg_BW/train/hsi/hsi/1015.tiff,/mnt/data/whispers2023/C2Seg_BW/train/label/1015.tiff
/mnt/data/whispers2023/C2Seg_BW/train/msi/1016.tiff,/mnt/data/whispers2023/C2Seg_BW/train/sar/1016.tiff,/mnt/data/whispers2023/C2Seg_BW/train/hsi/hsi/1016.tiff,/mnt/data/whispers2023/C2Seg_BW/train/label/1016.tiff
/mnt/data/whispers2023/C2Seg_BW/train/msi/1017.tiff,/mnt/data/whispers2023/C2Seg_BW/train/sar/1017.tiff,/mnt/data/whispers2023/C2Seg_BW/train/hsi/hsi/1017.tiff,/mnt/data/whispers2023/C2Seg_BW/train/label/1017.tiff
/mnt/data/whispers2023/C2Seg_BW/train/msi/1019.tiff,/mnt/data/whispers2023/C2Seg_BW/train/sar/1019.tiff,/mnt/data/whispers2023/C2Seg_BW/train/hsi/hsi/1019.tiff,/mnt/data/whispers2023/C2Seg_BW/train/label/1019.tiff
/mnt/data/whispers2023/C2Seg_BW/train/msi/102.tiff,/mnt/data/whispers2023/C2Seg_BW/train/sar/102.tiff,/mnt/data/whispers2023/C2Seg_BW/train/hsi/hsi/102.tiff,/mnt/data/whispers2023/C2Seg_BW/train/label/102.tiff
/mnt/data/whispers2023/C2Seg_BW/train/msi/1020.tiff,/mnt/data/whispers2023/C2Seg_BW/train/sar/1020.tiff,/mnt/data/whispers2023/C2Seg_BW/train/hsi/hsi/1020.tiff,/mnt/data/whispers2023/C2Seg_BW/train/label/1020.tiff
/mnt/data/whispers2023/C2Seg_BW/train/msi/1022.tiff,/mnt/data/whispers2023/C2Seg_BW/train/sar/1022.tiff,/mnt/data/whispers2023/C2Seg_BW/train/hsi/hsi/1022.tiff,/mnt/data/whispers2023/C2Seg_BW/train/label/1022.tiff
/mnt/data/whispers2023/C2Seg_BW/train/msi/1023.tiff,/mnt/data/whispers2023/C2Seg_BW/train/sar/1023.tiff,/mnt/data/whispers2023/C2Seg_BW/train/hsi/hsi/1023.tiff,/mnt/data/whispers2023/C2Seg_BW/train/label/1023.tiff
/mnt/data/whispers2023/C2Seg_BW/train/msi/1024.tiff,/mnt/data/whispers2023/C2Seg_BW/train/sar/1024.tiff,/mnt/data/whispers2023/C2Seg_BW/train/hsi/hsi/1024.tiff,/mnt/data/whispers2023/C2Seg_BW/train/label/1024.tiff
/mnt/data/whispers2023/C2Seg_BW/train/msi/1025.tiff,/mnt/data/whispers2023/C2Seg_BW/train/sar/1025.tiff,/mnt/data/whispers2023/C2Seg_BW/train/hsi/hsi/1025.tiff,/mnt/data/whispers2023/C2Seg_BW/train/label/1025.tiff
/mnt/data/whispers2023/C2Seg_BW/train/msi/1026.tiff,/mnt/data/whispers2023/C2Seg_BW/train/sar/1026.tiff,/mnt/data/whispers2023/C2Seg_BW/train/hsi/hsi/1026.tiff,/mnt/data/whispers2023/C2Seg_BW/train/label/1026.tiff
/mnt/data/whispers2023/C2Seg_BW/train/msi/1027.tiff,/mnt/data/whispers2023/C2Seg_BW/train/sar/1027.tiff,/mnt/data/whispers2023/C2Seg_BW/train/hsi/hsi/1027.tiff,/mnt/data/whispers2023/C2Seg_BW/train/label/1027.tiff
/mnt/data/whispers2023/C2Seg_BW/train/msi/1028.tiff,/mnt/data/whispers2023/C2Seg_BW/train/sar/1028.tiff,/mnt/data/whispers2023/C2Seg_BW/train/hsi/hsi/1028.tiff,/mnt/data/whispers2023/C2Seg_BW/train/label/1028.tiff
/mnt/data/whispers2023/C2Seg_BW/train/msi/1029.tiff,/mnt/data/whispers2023/C2Seg_BW/train/sar/1029.tiff,/mnt/data/whispers2023/C2Seg_BW/train/hsi/hsi/1029.tiff,/mnt/data/whispers2023/C2Seg_BW/train/label/1029.tiff
